
# Curve 0 of 1, 1020 points
# Curve title: "1/(x**2)"
# x y type
0.0000000e+00 0.0000000e+00  u
2.0461237e+00 2.3885605e-01  i
2.0490677e+00 2.3817018e-01  i
2.0520118e+00 2.3748725e-01  i
2.0549558e+00 2.3680726e-01  i
2.0578999e+00 2.3613018e-01  i
2.0608440e+00 2.3545601e-01  i
2.0637880e+00 2.3478472e-01  i
2.0667321e+00 2.3411629e-01  i
2.0696762e+00 2.3345072e-01  i
2.0726202e+00 2.3278797e-01  i
2.0755643e+00 2.3212805e-01  i
2.0785083e+00 2.3147093e-01  i
2.0814524e+00 2.3081660e-01  i
2.0843965e+00 2.3016503e-01  i
2.0873405e+00 2.2951622e-01  i
2.0902846e+00 2.2887015e-01  i
2.0932287e+00 2.2822681e-01  i
2.0961727e+00 2.2758617e-01  i
2.0991168e+00 2.2694823e-01  i
2.1020608e+00 2.2631297e-01  i
2.1050049e+00 2.2568036e-01  i
2.1079490e+00 2.2505041e-01  i
2.1108930e+00 2.2442309e-01  i
2.1138371e+00 2.2379840e-01  i
2.1167812e+00 2.2317630e-01  i
2.1197252e+00 2.2255680e-01  i
2.1226693e+00 2.2193987e-01  i
2.1256133e+00 2.2132550e-01  i
2.1285574e+00 2.2071369e-01  i
2.1315015e+00 2.2010440e-01  i
2.1344455e+00 2.1949764e-01  i
2.1373896e+00 2.1889337e-01  i
2.1403337e+00 2.1829161e-01  i
2.1432777e+00 2.1769232e-01  i
2.1462218e+00 2.1709549e-01  i
2.1491658e+00 2.1650112e-01  i
2.1521099e+00 2.1590918e-01  i
2.1550540e+00 2.1531967e-01  i
2.1579980e+00 2.1473256e-01  i
2.1609421e+00 2.1414786e-01  i
2.1638862e+00 2.1356554e-01  i
2.1668302e+00 2.1298559e-01  i
2.1697743e+00 2.1240801e-01  i
2.1727184e+00 2.1183276e-01  i
2.1756624e+00 2.1125986e-01  i
2.1786065e+00 2.1068927e-01  i
2.1815505e+00 2.1012099e-01  i
2.1844946e+00 2.0955501e-01  i
2.1874387e+00 2.0899131e-01  i
2.1903827e+00 2.0842988e-01  i
2.1933268e+00 2.0787072e-01  i
2.1962709e+00 2.0731380e-01  i
2.1992149e+00 2.0675911e-01  i
2.2021590e+00 2.0620665e-01  i
2.2051030e+00 2.0565640e-01  i
2.2080471e+00 2.0510835e-01  i
2.2109912e+00 2.0456248e-01  i
2.2139352e+00 2.0401879e-01  i
2.2168793e+00 2.0347727e-01  i
2.2198234e+00 2.0293790e-01  i
2.2227674e+00 2.0240067e-01  i
2.2257115e+00 2.0186558e-01  i
2.2286555e+00 2.0133260e-01  i
2.2315996e+00 2.0080173e-01  i
2.2345437e+00 2.0027296e-01  i
2.2374877e+00 1.9974627e-01  i
2.2404318e+00 1.9922166e-01  i
2.2433759e+00 1.9869911e-01  i
2.2463199e+00 1.9817861e-01  i
2.2492640e+00 1.9766016e-01  i
2.2522080e+00 1.9714374e-01  i
2.2551521e+00 1.9662934e-01  i
2.2580962e+00 1.9611695e-01  i
2.2610402e+00 1.9560656e-01  i
2.2639843e+00 1.9509816e-01  i
2.2669284e+00 1.9459174e-01  i
2.2698724e+00 1.9408729e-01  i
2.2728165e+00 1.9358480e-01  i
2.2757605e+00 1.9308426e-01  i
2.2787046e+00 1.9258566e-01  i
2.2816487e+00 1.9208898e-01  i
2.2845927e+00 1.9159423e-01  i
2.2875368e+00 1.9110138e-01  i
2.2904809e+00 1.9061043e-01  i
2.2934249e+00 1.9012137e-01  i
2.2963690e+00 1.8963420e-01  i
2.2993131e+00 1.8914889e-01  i
2.3022571e+00 1.8866544e-01  i
2.3052012e+00 1.8818384e-01  i
2.3081452e+00 1.8770409e-01  i
2.3110893e+00 1.8722617e-01  i
2.3140334e+00 1.8675007e-01  i
2.3169774e+00 1.8627578e-01  i
2.3199215e+00 1.8580330e-01  i
2.3228656e+00 1.8533261e-01  i
2.3258096e+00 1.8486371e-01  i
2.3287537e+00 1.8439659e-01  i
2.3316977e+00 1.8393124e-01  i
2.3346418e+00 1.8346764e-01  i
2.3375859e+00 1.8300580e-01  i
2.3405299e+00 1.8254570e-01  i
2.3434740e+00 1.8208733e-01  i
2.3464181e+00 1.8163068e-01  i
2.3493621e+00 1.8117575e-01  i
2.3523062e+00 1.8072253e-01  i
2.3552502e+00 1.8027101e-01  i
2.3581943e+00 1.7982117e-01  i
2.3611384e+00 1.7937302e-01  i
2.3640824e+00 1.7892654e-01  i
2.3670265e+00 1.7848173e-01  i
2.3699706e+00 1.7803857e-01  i
2.3729146e+00 1.7759706e-01  i
2.3758587e+00 1.7715719e-01  i
2.3788027e+00 1.7671896e-01  i
2.3817468e+00 1.7628234e-01  i
2.3846909e+00 1.7584735e-01  i
2.3876349e+00 1.7541396e-01  i
2.3905790e+00 1.7498217e-01  i
2.3935231e+00 1.7455198e-01  i
2.3964671e+00 1.7412336e-01  i
2.3994112e+00 1.7369633e-01  i
2.4023553e+00 1.7327086e-01  i
2.4052993e+00 1.7284696e-01  i
2.4082434e+00 1.7242461e-01  i
2.4111874e+00 1.7200381e-01  i
2.4141315e+00 1.7158454e-01  i
2.4170756e+00 1.7116681e-01  i
2.4200196e+00 1.7075059e-01  i
2.4229637e+00 1.7033590e-01  i
2.4259078e+00 1.6992271e-01  i
2.4288518e+00 1.6951103e-01  i
2.4317959e+00 1.6910084e-01  i
2.4347399e+00 1.6869214e-01  i
2.4376840e+00 1.6828491e-01  i
2.4406281e+00 1.6787916e-01  i
2.4435721e+00 1.6747488e-01  i
2.4465162e+00 1.6707205e-01  i
2.4494603e+00 1.6667068e-01  i
2.4524043e+00 1.6627075e-01  i
2.4553484e+00 1.6587226e-01  i
2.4582924e+00 1.6547520e-01  i
2.4612365e+00 1.6507956e-01  i
2.4641806e+00 1.6468534e-01  i
2.4671246e+00 1.6429253e-01  i
2.4700687e+00 1.6390113e-01  i
2.4730128e+00 1.6351112e-01  i
2.4759568e+00 1.6312250e-01  i
2.4789009e+00 1.6273527e-01  i
2.4818449e+00 1.6234941e-01  i
2.4847890e+00 1.6196492e-01  i
2.4877331e+00 1.6158180e-01  i
2.4906771e+00 1.6120004e-01  i
2.4936212e+00 1.6081962e-01  i
2.4965653e+00 1.6044055e-01  i
2.4995093e+00 1.6006283e-01  i
2.5024534e+00 1.5968643e-01  i
2.5053974e+00 1.5931136e-01  i
2.5083415e+00 1.5893761e-01  i
2.5112856e+00 1.5856517e-01  i
2.5142296e+00 1.5819404e-01  i
2.5171737e+00 1.5782421e-01  i
2.5201178e+00 1.5745568e-01  i
2.5230618e+00 1.5708844e-01  i
2.5260059e+00 1.5672248e-01  i
2.5289500e+00 1.5635779e-01  i
2.5318940e+00 1.5599438e-01  i
2.5348381e+00 1.5563224e-01  i
2.5377821e+00 1.5527135e-01  i
2.5407262e+00 1.5491172e-01  i
2.5436703e+00 1.5455333e-01  i
2.5466143e+00 1.5419619e-01  i
2.5495584e+00 1.5384028e-01  i
2.5525025e+00 1.5348561e-01  i
2.5554465e+00 1.5313216e-01  i
2.5583906e+00 1.5277993e-01  i
2.5613346e+00 1.5242891e-01  i
2.5642787e+00 1.5207911e-01  i
2.5672228e+00 1.5173050e-01  i
2.5701668e+00 1.5138309e-01  i
2.5731109e+00 1.5103688e-01  i
2.5760550e+00 1.5069185e-01  i
2.5789990e+00 1.5034800e-01  i
2.5819431e+00 1.5000532e-01  i
2.5848871e+00 1.4966382e-01  i
2.5878312e+00 1.4932348e-01  i
2.5907753e+00 1.4898430e-01  i
2.5937193e+00 1.4864628e-01  i
2.5966634e+00 1.4830940e-01  i
2.5996075e+00 1.4797367e-01  i
2.6025515e+00 1.4763908e-01  i
2.6054956e+00 1.4730562e-01  i
2.6084396e+00 1.4697329e-01  i
2.6113837e+00 1.4664208e-01  i
2.6143278e+00 1.4631199e-01  i
2.6172718e+00 1.4598302e-01  i
2.6202159e+00 1.4565515e-01  i
2.6231600e+00 1.4532839e-01  i
2.6261040e+00 1.4500272e-01  i
2.6290481e+00 1.4467815e-01  i
2.6319921e+00 1.4435466e-01  i
2.6349362e+00 1.4403226e-01  i
2.6378803e+00 1.4371094e-01  i
2.6408243e+00 1.4339070e-01  i
2.6437684e+00 1.4307152e-01  i
2.6467125e+00 1.4275340e-01  i
2.6496565e+00 1.4243635e-01  i
2.6526006e+00 1.4212035e-01  i
2.6555447e+00 1.4180540e-01  i
2.6584887e+00 1.4149150e-01  i
2.6614328e+00 1.4117864e-01  i
2.6643768e+00 1.4086682e-01  i
2.6673209e+00 1.4055602e-01  i
2.6702650e+00 1.4024626e-01  i
2.6732090e+00 1.3993752e-01  i
2.6761531e+00 1.3962979e-01  i
2.6790972e+00 1.3932308e-01  i
2.6820412e+00 1.3901738e-01  i
2.6849853e+00 1.3871269e-01  i
2.6879293e+00 1.3840899e-01  i
2.6908734e+00 1.3810629e-01  i
2.6938175e+00 1.3780459e-01  i
2.6967615e+00 1.3750387e-01  i
2.6997056e+00 1.3720413e-01  i
2.7026497e+00 1.3690537e-01  i
2.7055937e+00 1.3660759e-01  i
2.7085378e+00 1.3631078e-01  i
2.7114818e+00 1.3601493e-01  i
2.7144259e+00 1.3572005e-01  i
2.7173700e+00 1.3542613e-01  i
2.7203140e+00 1.3513315e-01  i
2.7232581e+00 1.3484113e-01  i
2.7262022e+00 1.3455006e-01  i
2.7291462e+00 1.3425992e-01  i
2.7320903e+00 1.3397072e-01  i
2.7350343e+00 1.3368246e-01  i
2.7379784e+00 1.3339513e-01  i
2.7409225e+00 1.3310872e-01  i
2.7438665e+00 1.3282323e-01  i
2.7468106e+00 1.3253866e-01  i
2.7497547e+00 1.3225500e-01  i
2.7526987e+00 1.3197225e-01  i
2.7556428e+00 1.3169041e-01  i
2.7585868e+00 1.3140947e-01  i
2.7615309e+00 1.3112943e-01  i
2.7644750e+00 1.3085029e-01  i
2.7674190e+00 1.3057203e-01  i
2.7703631e+00 1.3029466e-01  i
2.7733072e+00 1.3001817e-01  i
2.7762512e+00 1.2974256e-01  i
2.7791953e+00 1.2946783e-01  i
2.7821394e+00 1.2919397e-01  i
2.7850834e+00 1.2892098e-01  i
2.7880275e+00 1.2864885e-01  i
2.7909715e+00 1.2837758e-01  i
2.7939156e+00 1.2810717e-01  i
2.7968597e+00 1.2783761e-01  i
2.7998037e+00 1.2756890e-01  i
2.8027478e+00 1.2730104e-01  i
2.8056919e+00 1.2703402e-01  i
2.8086359e+00 1.2676785e-01  i
2.8115800e+00 1.2650250e-01  i
2.8145240e+00 1.2623799e-01  i
2.8174681e+00 1.2597431e-01  i
2.8204122e+00 1.2571145e-01  i
2.8233562e+00 1.2544942e-01  i
2.8263003e+00 1.2518820e-01  i
2.8292444e+00 1.2492780e-01  i
2.8321884e+00 1.2466821e-01  i
2.8351325e+00 1.2440943e-01  i
2.8380765e+00 1.2415145e-01  i
2.8410206e+00 1.2389427e-01  i
2.8439647e+00 1.2363790e-01  i
2.8469087e+00 1.2338231e-01  i
2.8498528e+00 1.2312752e-01  i
2.8527969e+00 1.2287352e-01  i
2.8557409e+00 1.2262030e-01  i
2.8586850e+00 1.2236787e-01  i
2.8616290e+00 1.2211621e-01  i
2.8645731e+00 1.2186533e-01  i
2.8675172e+00 1.2161522e-01  i
2.8704612e+00 1.2136589e-01  i
2.8734053e+00 1.2111731e-01  i
2.8763494e+00 1.2086950e-01  i
2.8792934e+00 1.2062245e-01  i
2.8822375e+00 1.2037616e-01  i
2.8851816e+00 1.2013062e-01  i
2.8881256e+00 1.1988583e-01  i
2.8910697e+00 1.1964178e-01  i
2.8940137e+00 1.1939849e-01  i
2.8969578e+00 1.1915593e-01  i
2.8999019e+00 1.1891411e-01  i
2.9028459e+00 1.1867303e-01  i
2.9057900e+00 1.1843268e-01  i
2.9087341e+00 1.1819306e-01  i
2.9116781e+00 1.1795416e-01  i
2.9146222e+00 1.1771599e-01  i
2.9175662e+00 1.1747854e-01  i
2.9205103e+00 1.1724181e-01  i
2.9234544e+00 1.1700579e-01  i
2.9263984e+00 1.1677049e-01  i
2.9293425e+00 1.1653589e-01  i
2.9322866e+00 1.1630200e-01  i
2.9352306e+00 1.1606881e-01  i
2.9381747e+00 1.1583633e-01  i
2.9411187e+00 1.1560454e-01  i
2.9440628e+00 1.1537344e-01  i
2.9470069e+00 1.1514304e-01  i
2.9499509e+00 1.1491333e-01  i
2.9528950e+00 1.1468431e-01  i
2.9558391e+00 1.1445597e-01  i
2.9587831e+00 1.1422831e-01  i
2.9617272e+00 1.1400132e-01  i
2.9646712e+00 1.1377502e-01  i
2.9676153e+00 1.1354939e-01  i
2.9705594e+00 1.1332443e-01  i
2.9735034e+00 1.1310013e-01  i
2.9764475e+00 1.1287650e-01  i
2.9793916e+00 1.1265354e-01  i
2.9823356e+00 1.1243123e-01  i
2.9852797e+00 1.1220958e-01  i
2.9882237e+00 1.1198859e-01  i
2.9911678e+00 1.1176825e-01  i
2.9941119e+00 1.1154856e-01  i
2.9970559e+00 1.1132951e-01  i
3.0000000e+00 1.1111111e-01  i

